name,description,category,wikipedia_link
Amateur radio,Operating radio equipment for communication and experimentation,Indoors,https://en.wikipedia.org/wiki/Amateur_radio
Audiophilia,High-fidelity sound reproduction and audio equipment appreciation,Indoors,https://en.wikipedia.org/wiki/Audiophilia
Aquarium keeping,Maintaining and caring for fish and aquatic life in tanks,Indoors,https://en.wikipedia.org/wiki/Aquarium
Baking,Creating breads, pastries, and desserts from scratch,Indoors,https://en.wikipedia.org/wiki/Baking
Baton twirling,Performing rhythmic gymnastics with a baton,Indoors,https://en.wikipedia.org/wiki/Baton_twirling
Basket weaving,Crafting containers and decorative items from natural materials,Indoors,https://en.wikipedia.org/wiki/Basket_weaving
Bonsai,Cultivating miniature trees in containers,Indoors,https://en.wikipedia.org/wiki/Bonsai
Computer programming,Writing code to create software and applications,Indoors,https://en.wikipedia.org/wiki/Computer_programming
Cooking,Preparing and experimenting with various cuisines and recipes,Indoors,https://en.wikipedia.org/wiki/Cooking
Creative writing,Composing stories, poems, and other literary works,Indoors,https://en.wikipedia.org/wiki/Creative_writing
Crocheting,Crafting fabric using yarn and a hooked needle,Indoors,https://en.wikipedia.org/wiki/Crochet
Dance,Performing rhythmic movements to music,Indoors,https://en.wikipedia.org/wiki/Dance
Drawing,Creating visual art with pencils, pens, or digital tools,Indoors,https://en.wikipedia.org/wiki/Drawing
Embroidery,Decorating fabric with needle and thread designs,Indoors,https://en.wikipedia.org/wiki/Embroidery
Basketball,Playing the team sport with a ball and hoop,Indoors,https://en.wikipedia.org/wiki/Basketball
Gardening,Cultivating plants and maintaining outdoor spaces,Indoors,https://en.wikipedia.org/wiki/Gardening
Genealogy,Researching family history and ancestry,Indoors,https://en.wikipedia.org/wiki/Genealogy
Jewelry making,Crafting decorative accessories from various materials,Indoors,https://en.wikipedia.org/wiki/Jewelry
Knapping,Shaping stone tools and arrowheads,Indoors,https://en.wikipedia.org/wiki/Knapping
Lapidary,Cutting and polishing gemstones and minerals,Indoors,https://en.wikipedia.org/wiki/Lapidary
Locksport,Picking locks and studying lock mechanisms,Indoors,https://en.wikipedia.org/wiki/Locksport
Musical instruments,Learning to play various musical instruments,Indoors,https://en.wikipedia.org/wiki/Musical_instrument
Painting,Creating artwork with brushes and various mediums,Indoors,https://en.wikipedia.org/wiki/Painting
Punch needle rug making,Crafting rugs using a punch needle technique,Indoors,https://en.wikipedia.org/wiki/Punch_needle
Knitting,Creating fabric by interlocking loops of yarn,Indoors,https://en.wikipedia.org/wiki/Knitting
Reading,Exploring books, articles, and written content,Indoors,https://en.wikipedia.org/wiki/Reading
Scrapbooking,Preserving memories in decorative albums,Indoors,https://en.wikipedia.org/wiki/Scrapbooking
Sculpting,Creating three-dimensional artwork from various materials,Indoors,https://en.wikipedia.org/wiki/Sculpture
Sewing,Joining fabric pieces with needle and thread,Indoors,https://en.wikipedia.org/wiki/Sewing
Singing,Producing musical sounds with the voice,Indoors,https://en.wikipedia.org/wiki/Singing
Sleeping,Resting and rejuvenating the body,Indoors,https://en.wikipedia.org/wiki/Sleep
Watching movies,Viewing films for entertainment and cultural appreciation,Indoors,https://en.wikipedia.org/wiki/Film
Watching television,Viewing broadcast content for entertainment,Indoors,https://en.wikipedia.org/wiki/Television
